DPTO,informal,edad,soltero,analfabeta,nivel_educativo,ingreso,vivienda_propia,jefe_hogar,empleado_empresa_particular,empleado_gobierno,empleado_domestico,independiente,empleador,familiar_sin_remuneracion,empresa_sin_remuneracion,jornalero,horas_trabajo,desea_cambiar_trabajo,rural,dinero_ahorrado,tiempo_desempleado,tercera_edad
8,1,25,0,0,5,300000,0,1,0,0,0,1,0,0,0,0,20,1,0,0,8,0
8,1,46,0,0,10,2500000,0,1,0,0,0,1,0,0,0,0,60,0,0,0,2,0
8,0,43,0,0,11,6000000,1,0,0,0,0,1,0,0,0,0,40,0,0,0,3,0
8,1,59,0,0,4,1400000,1,0,0,0,1,0,0,0,0,0,60,0,0,0,2,0
8,0,40,0,0,12,7800000,1,0,0,1,0,0,0,0,0,0,48,0,0,0,0,0
8,1,46,0,0,5,200000,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0
8,1,59,1,0,3,300000,1,1,0,0,0,1,0,0,0,0,18,0,0,0,0,0
8,0,47,0,0,10,1500000,1,0,1,0,0,0,0,0,0,0,60,0,0,0,6,0
8,0,28,1,0,10,1300000,0,0,1,0,0,0,0,0,0,0,48,0,0,0,5,0
8,0,33,0,0,8,1300000,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0
8,1,46,1,0,8,30000,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0
8,1,36,1,0,5,990000,0,0,1,0,0,0,0,0,0,0,40,1,0,0,1,0
8,0,42,0,0,5,1400000,0,1,1,0,0,0,0,0,0,0,60,0,0,0,0,0
11,0,46,1,0,4,1500000,0,1,1,0,0,0,0,0,0,0,47,0,0,0,3,0
11,0,25,1,0,10,1300000,0,0,1,0,0,0,0,0,0,0,47,1,0,0,1,0
11,0,29,1,0,5,1300000,0,0,1,0,0,0,0,0,0,0,46,0,0,0,12,0
11,1,20,1,0,6,780000,0,0,1,0,0,0,0,0,0,0,60,1,0,0,2,0
11,0,31,0,0,9,1800000,0,1,1,0,0,0,0,0,0,0,40,0,0,0,4,0
11,0,40,0,0,12,3500000,1,1,0,0,0,1,0,0,0,0,24,1,0,0,12,0
11,0,54,0,0,10,1500000,0,0,1,0,0,0,0,0,0,0,40,0,0,0,4,0
